country.0,country.1,country.2,country.3,assembly
Italy,France,,,1
France,,,,1
France,Italy,,,1
France,,,,1
Turkey,,,,1
Italy,,,,1
Afghanistan,Åland Islands,Andorra,Antigua and Barbuda,1
France,,,,1
United States of America,,,,1
Philippines,,,,1
Italy,,,,1
France,,,,1
France,,,,1
Antarctica,,,,1
Syria,,,,1
Turkey,,,,1
Italy,,,,1
South Korea,,,,1
France,,,,1
Brazil,,,,1
South Korea,,,,1
Antarctica,,,,1
Romania,,,,1
South Korea,,,,1
South Korea,,,,1
France,South Korea,,,1
Ireland,,,,1
South Korea,,,,1
United States of America,France,Portugal,,1
Maldives,,,,1
France,,,,1
North Korea,,,,1
France,,,,1
China,,,,1
India,,,,1
France,,,,1
France,,,,1
Canada,,,,1
Switzerland,,,,1
France,,,,1
France,,,,1
France,Spain,,,1
France,Japan,,,1
France,,,,1
France,,,,1
France,North Korea,,,1
Italy,France,,,1
United States of America,,,,1
Italy,France,South Korea,,1
France,Italy,,,1
France,,,,1
France,,,,1
France,Italy,Greece,,1
France,,,,1
Antarctica,,,,1
France,,,,1
France,,,,1
Italy,South Korea,,,1
France,,,,1
France,Italy,,,1
France,,,,1
South Korea,France,,,1
France,Italy,Spain,,1
France,,,,1
France,,,,1
South Korea,,,,1
Canada,Northern Cyprus,North Macedonia,,1
Switzerland,,,,1
Afghanistan,France,,,1
France,,,,1
Norway,,,,1
France,Italy,Spain,,1
France,United States of America,Italy,,1
France,,,,1
France,,,,1
South Korea,,,,1
Italy,France,,,1
France,,,,1
Bermuda,Switzerland,,,1
France,Italy,,,1
France,Italy,,,1
Spain,France,Italy,,1
France,Italy,Spain,,1
Italy,India,,,1
South Korea,,,,1
South Korea,Italy,France,,1
France,Italy,,,1
Italy,France,,,1
France,Italy,,,1
Italy,,,,1
South Korea,Italy,,,1
France,,,,1
France,Italy,,,1
North Korea,,,,1
France,,,,1
South Korea,Japan,France,,1
France,,,,1
France,,,,1
Azerbaijan,,,,1
France,Italy,,,1
France,Spain,Italy,Portugal,1
Dominican Republic,Italy,,,1
Antarctica,,,,1
France,Japan,,,1
France,,,,1
Bosnia and Herzegovina,,,,1
Italy,China,France,Germany,1
France,Italy,,,1
France,United States of America,Italy,,1
France,Italy,,,1
China,Spain,France,,1
France,Italy,,,1
Czech Republic,,,,1
Puerto Rico,,,,1
Italy,France,,,1
France,Turkey,Italy,,1
France,,,,1
Antarctica,,,,1
Italy,France,,,1
France,United States of America,,,1
North Korea,Russia,France,,1
France,Italy,,,1
Croatia,Greece,France,Spain,1
France,South Korea,Australia,,1
Ukraine,France,Russia,United Kingdom,1
