country.0,country.1,country.2,country.3,assembly
China,,,,1
Antarctica,,,,1
United States of America,,,,1
Japan,,,,1
Argentina,,,,1
Iceland,,,,1
Poland,,,,1
Armenia,,,,1
Philippines,,,,1
Namibia,,,,1
Greece,,,,1
France,,,,1
Brazil,,,,1
Madagascar,,,,1
France,Italy,Spain,United States of America,1
India,,,,1
South Korea,,,,1
North Korea,,,,1
Romania,,,,1
Indonesia,,,,1
South Korea,,,,1
India,,,,1
Madagascar,,,,1
South Korea,,,,1
Colombia,,,,1
United States of America,,,,1
South Korea,,,,1
China,,,,1
Madagascar,,,,1
Azerbaijan,,,,1
Greece,,,,1
Antarctica,,,,1
Italy,,,,1
United States of America,,,,1
Azerbaijan,,,,1
Jamaica,,,,1
South Korea,,,,1
Norway,,,,1
United States of America,,,,1
Madagascar,,,,1
South Korea,Japan,,,1
India,,,,1
South Korea,Canada,,,1
Philippines,,,,1
Madagascar,,,,1
South Korea,,,,1
Philippines,Iceland,,,1
Turkey,,,,1
South Korea,,,,1
Greece,Spain,Italy,,1
Puerto Rico,,,,1
Madagascar,North Korea,,,1
India,,,,1
India,,,,1
Japan,,,,1
North Korea,,,,1
India,,,,1
Czech Republic,,,,1
China,,,,1
India,Madagascar,,,1
Switzerland,Singapore,,,1
Singapore,Portugal,Japan,Thailand,1
Madagascar,Vietnam,,,1
Monaco,,,,1
China,Iceland,Chile,,1
India,Sri Lanka,,,1
Madagascar,Canada,,,1
United States of America,,,,1
Afghanistan,,,,1
Madagascar,,,,1
Iceland,Norway,Sweden,Finland,1
Luxembourg,Belgium,,,1
South Korea,France,Italy,Brazil,1
Japan,South Korea,North Korea,,1
Madagascar,Sweden,Argentina,,1
Uzbekistan,,,,1
Canada,United States of America,Madagascar,,1
Afghanistan,,,,1
Turkey,,,,1
India,,,,1
India,Japan,Dominican Republic,,1
United States of America,South Korea,,,1
Japan,Madagascar,,,1
Afghanistan,,,,1
Chad,,,,1
Germany,Anguilla,Antarctica,Haiti,1
Georgia,Italy,Israel,,1
Greece,Iceland,Italy,Madagascar,1
South Korea,,,,1
Antarctica,Madagascar,South Africa,South Korea,1
South Korea,North Korea,Afghanistan,Ukraine,1
Brazil,Papua New Guinea,Japan,Antarctica,1
Puerto Rico,,,,1
Japan,France,China,Italy,1
Iceland,,,,1
Bosnia and Herzegovina,,,,1
Zimbabwe,,,,1
China,,,,1
Madagascar,Afghanistan,Iraq,,1
United States of America,South Korea,,,1
Japan,Greece,Canada,,1
Madagascar,,,,1
Philippines,North Korea,France,Madagascar,1
Japan,Spain,Greece,Italy,1
Madagascar,,,,1
Singapore,Japan,Madagascar,,1
Madagascar,Croatia,Spain,Greece,1
Italy,,,,1
South Korea,Australia,,,1
Italy,Ireland,Madagascar,,1
Greece,Spain,Madagascar,United States of America,1
North Macedonia,,,,1
Mongolia,,,,1
American Samoa,,,,1
North Korea,South Korea,,,1
South Korea,Madagascar,,,1
Bermuda,Antarctica,,,1
Switzerland,,,,1
South Korea,,,,1
Croatia,Antarctica,Italy,,1
Madagascar,,,,1
Switzerland,Italy,South Korea,Brazil,1
Switzerland,,,,1
Madagascar,Greece,Argentina,Japan,1
Canada,Japan,Denmark,Norway,1
South Korea,North Korea,United States Minor Outlying Islands,United Republic of Tanzania,1
Ecuador,Argentina,,,1
Canada,New Zealand,,,1
Iceland,China,Greece,France,1
France,Italy,Greece,United Kingdom,1
Madagascar,Italy,France,United States of America,1
Greece,France,Madagascar,,1
Colombia,United States of America,China,,1
South Korea,North Korea,Spain,Egypt,1
Antarctica,,,,1
Iceland,,,,1
France,Australia,Iceland,Antarctica,1
United States of America,United Arab Emirates,Greece,,1
South Korea,,,,1
Iceland,Sweden,Switzerland,North Korea,1
Puerto Rico,Guatemala,Dominican Republic,Madagascar,1
South Korea,Madagascar,,,1
Barbados,Dominican Republic,Turks and Caicos Islands,,1
Switzerland,Greece,,,1
United States of America,,,,1
"Palestine, State of",,,,1
United States of America,Antarctica,,,1
China,Japan,Switzerland,Sweden,1
Hong Kong,,,,1
Pakistan,Iran,Afghanistan,North Korea,1
British Indian Ocean Territory,India,Indonesia,,1
South Korea,New Zealand,Madagascar,France,1
Iran,Greece,Armenia,Turkey,1
Russia,Madagascar,Brazil,,1
Aruba,,,,1
India,South Korea,Spain,,1
Japan,Switzerland,Antarctica,,1
North Korea,,,,1
France,United Arab Emirates,Japan,Greece,1
Czech Republic,,,,1
Iceland,Switzerland,,,1
Ukraine,Russia,French Southern and Antarctic Lands,Antarctica,1
Greece,Spain,United Arab Emirates,Jamaica,1
North Korea,,,,1
The Bahamas,Italy,France,,1
North Korea,Italy,Japan,France,1
United States of America,India,Madagascar,Antarctica,1
India,The Bahamas,Barbados,Syria,1
Switzerland,Norway,United States of America,New Zealand,1
China,,,,1
Switzerland,South Korea,Italy,,1
North Korea,Poland,Bulgaria,Antarctica,1
Dominican Republic,Greece,Jamaica,,1
Albania,Switzerland,United States of America,Italy,1
Norway,India,Sweden,Finland,1
Turkey,France,Australia,Brazil,1
Puerto Rico,Spain,Portugal,,1
Argentina,El Salvador,Greece,Italy,1
Madagascar,United States of America,,,1
Switzerland,Japan,Finland,,1
Chad,Djibouti,Tuvalu,Nauru,1
China,,,,1
Greece,,,,1
Liechtenstein,Switzerland,Sweden,Madagascar,1
South Korea,Switzerland,,,1
France,Italy,Heard Island and McDonald Islands,Switzerland,1
Croatia,Japan,,,1
North Korea,Bulgaria,North Macedonia,Croatia,1
Greece,Switzerland,Spain,Iceland,1
North Korea,,,,1
Iceland,,,,1
Aruba,The Bahamas,Brazil,North Macedonia,1
Greece,Italy,,,1
Japan,India,South Korea,Switzerland,1
France,,,,1
The Bahamas,Japan,France,Italy,1
Ghana,United States of America,Nigeria,,1
Mongolia,Russia,Chile,North Korea,1
South Korea,Philippines,Australia,,1
Sweden,,,,1
Greece,,,,1
Nigeria,Norway,Russia,North Korea,1
Iceland,Japan,Finland,,1
South Korea,Madagascar,Philippines,,1
India,Madagascar,Nauru,North Korea,1
Greece,Japan,Taiwan,United Kingdom,1
Israel,Heard Island and McDonald Islands,Madagascar,The Bahamas,1
Ecuador,Mexico,United Kingdom,,1
Iceland,Norway,Denmark,,1
The Bahamas,Cyprus,India,,1
India,,,,1
Portugal,,,,1
Greece,Saint Lucia,Cuba,,1
Norway,Canada,,,1
Israel,Brazil,United States of America,Japan,1
Japan,Israel,,,1
North Korea,Madagascar,Italy,Dominican Republic,1
United States of America,China,France,Japan,1
Greece,Madagascar,Greenland,,1
Uganda,,,,1
Canada,Singapore,South Korea,Turkey,1
South Korea,Iceland,Jamaica,Aruba,1
Italy,Ireland,Greece,France,1
North Korea,Japan,China,Russia,1
Canada,Madagascar,Switzerland,,1
Belgium,,,,1
South Korea,China,United States of America,France,1
Brazil,El Salvador,Colombia,Mexico,1
Dominican Republic,Mexico,Jamaica,Brazil,1
Madagascar,Brazil,,,1
Egypt,Madagascar,United Kingdom,Russia,1
Monaco,Iceland,India,United States of America,1
Japan,Madagascar,,,1
China,Dominican Republic,Turks and Caicos Islands,Barbados,1
Greece,Japan,Iceland,,1
Antarctica,,,,1
France,Greece,Italy,Fiji,1
United States of America,Australia,,,1
Italy,Japan,,,1
Japan,Italy,,,1
China,India,Madagascar,Singapore,1
Guatemala,Madagascar,Costa Rica,,1
Iceland,Norway,Fiji,Finland,1
North Korea,India,Czech Republic,Chile,1
Greece,India,Brazil,Mexico,1
Sweden,Denmark,France,United Kingdom,1
Turkey,,,,1
Denmark,United States of America,Zimbabwe,,1
Brazil,South Africa,Costa Rica,San Marino,1
Australia,Israel,Japan,,1
North Korea,Pakistan,,,1
Costa Rica,,,,1
Antarctica,Argentina,Latvia,Paraguay,1
Greece,Costa Rica,France,Italy,1
Madagascar,,,,1
Poland,Iceland,Aruba,Brazil,1
Vietnam,Japan,,,1
Italy,Madagascar,Brazil,Israel,1
South Korea,Australia,Ireland,Italy,1
Philippines,Ecuador,Spain,Italy,1
North Korea,,,,1
Greenland,Norway,Switzerland,Singapore,1
Ireland,United States of America,France,Italy,1
United States of America,Madagascar,Switzerland,China,1
India,Indonesia,Iceland,Mongolia,1
Maldives,Norway,The Bahamas,Fiji,1
China,United States of America,Brazil,,1
Madagascar,Saudi Arabia,,,1
Turkey,South Korea,Japan,Mongolia,1
Madagascar,Japan,Morocco,Norway,1
Greece,,,,1
The Bahamas,France,Italy,Fiji,1
India,Madagascar,Djibouti,Afghanistan,1
France,Italy,Portugal,South Korea,1
North Korea,South Korea,Madagascar,Japan,1
The Bahamas,Italy,Kazakhstan,Saint Lucia,1
India,,,,1
Greece,United States of America,,,1
China,Denmark,France,Italy,1
Iceland,China,Madagascar,Norway,1
Switzerland,Turks and Caicos Islands,Cayman Islands,Italy,1
Croatia,Mexico,France,,1
Iceland,China,Brazil,Italy,1
Portugal,,,,1
Switzerland,Greece,Morocco,New Zealand,1
Maldives,Iceland,Switzerland,Fiji,1
Austria,North Korea,,,1
India,North Korea,,,1
Bermuda,Cayman Islands,Fiji,New Zealand,1
New Zealand,,,,1
Iceland,Norway,Jamaica,Dominican Republic,1
Madagascar,Russia,United States of America,New Zealand,1
Japan,Poland,United States of America,,1
Iceland,Ireland,Spain,,1
Spain,,,,1
Portugal,Spain,Puerto Rico,The Bahamas,1
Fiji,,,,1
North Korea,China,Bulgaria,Zimbabwe,1
Niger,India,Chad,United States of America,1
Antarctica,Madagascar,Switzerland,,1
Hungary,France,Italy,,1
Colombia,Switzerland,Mexico,,1
France,Italy,Germany,United Kingdom,1
Italy,Dominican Republic,Turks and Caicos Islands,Greece,1
India,Canada,Japan,United States of America,1
Madagascar,Norway,Spain,,1
Greece,Maldives,Netherlands,Turks and Caicos Islands,1
Greece,Albania,Spain,,1
Iceland,Costa Rica,Maldives,,1
Greece,Argentina,Antarctica,Japan,1
Italy,New Zealand,Ireland,,1
Finland,The Bahamas,Virgin Islands (U.S.),,1
Greece,Switzerland,,,1
The Bahamas,Belgium,Denmark,Fiji,1
Japan,Thailand,Switzerland,,1
Greece,Peru,United Kingdom,The Bahamas,1
Argentina,Brazil,Greece,Chile,1
Italy,Canada,Thailand,Turks and Caicos Islands,1
India,,,,1
Egypt,India,Madagascar,,1
Australia,United States of America,Ukraine,United Kingdom,1
Greece,Nigeria,,,1
India,Madagascar,Guyana,Isle of Man,1
Iceland,The Bahamas,Italy,Taiwan,1
Canada,Madagascar,New Zealand,Switzerland,1
Philippines,Tuvalu,Trinidad and Tobago,Saudi Arabia,1
China,India,France,Belarus,1
Hong Kong,,,,1
United States of America,Djibouti,,,1
The Bahamas,Switzerland,Italy,South Korea,1
Greece,Switzerland,Italy,Madagascar,1
Japan,Fiji,Ireland,,1
China,,,,1
The Bahamas,India,Greece,,1
North Korea,Pakistan,Syria,Russia,1
South Korea,France,Japan,,1
France,Italy,Greece,Israel,1
South Korea,,,,1
Canada,Ireland,,,1
Greece,Egypt,France,The Bahamas,1
Ivory Coast,Zimbabwe,,,1
Guam,South Korea,Turks and Caicos Islands,,1
Philippines,Greece,Italy,Madagascar,1
The Bahamas,Italy,Fiji,New Zealand,1
India,Spain,The Bahamas,,1
United States of America,Canada,Poland,Madagascar,1
Poland,Iceland,,,1
Spain,Greece,France,New Zealand,1
Italy,India,Greece,Maldives,1
Iceland,Germany,,,1
India,France,Switzerland,,1
Armenia,Vatican City,,,1
